team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Liverpool,2306,182,848,1190,84,94,82,225,50,1,286,1,1,0,81,199,2093
Man City,2263,161,774,1205,122,96,81,227,42,1,286,0,2,0,62,193,1937
Chelsea,2021,147,894,829,149,75,67,179,63,1,363,1,1,0,84,165,1919
Spurs,1899,153,754,794,193,63,65,181,67,1,440,1,0,0,97,144,1916
Arsenal,1691,143,562,793,191,60,48,149,61,4,528,1,3,0,100,128,2254
West Ham,1613,130,496,839,140,58,58,94,47,3,561,2,2,3,116,135,1595
Crystal Palace,1610,144,583,595,283,50,42,143,67,1,506,2,2,1,100,125,1494
Aston Villa,1570,125,572,625,242,50,47,133,79,2,594,2,0,1,98,116,1979
Leicester,1568,127,381,770,283,62,53,85,54,1,649,1,0,2,135,140,1660
Man Utd,1536,132,424,773,207,56,52,94,75,2,627,3,2,2,127,128,1977
Wolves,1535,147,676,498,212,35,32,134,58,2,473,1,0,0,125,106,1810
Brighton,1509,125,531,656,194,40,37,126,72,2,484,0,3,0,104,129,1787
Brentford,1467,126,496,692,151,46,40,104,61,3,616,2,0,0,129,96,1788
Newcastle,1372,118,429,492,326,41,36,93,79,2,682,2,0,1,107,114,1630
Southampton,1353,112,392,576,271,41,37,86,63,2,737,2,0,0,118,114,1538
Everton,1345,125,409,582,225,42,37,92,77,6,726,5,1,0,128,108,2142
Burnley,1329,126,468,488,239,32,31,101,68,2,583,2,1,0,128,84,1531
Leeds,1189,105,278,632,171,42,35,52,101,3,869,1,0,0,147,87,1720
Watford,1127,106,286,387,348,33,29,48,57,3,847,3,1,1,117,69,2364
Norwich,1111,118,315,437,238,21,20,67,55,1,924,2,0,1,141,60,1740
